label,text
1, I wish Ty' Asia get out my TL  Deonte you really fake ! Stfu !
0, I'd like to say that Ty' Asia is really fake!
1," My cousin said he first nighted that bitch, now she trying be cuffed lol."
0," he said he was the first night he had sex with that bitch, now he's trying to arrest her."
1, shit GAS GAS GAS GAS GAS GAS
0, shit GAS GAS GAS GAS GAS GAS
1, Jeremiah Boutaa get an unexpected phone call.
0, Jeremiah Bouta's phone call was unexpected.
1, Somebody should have stayed the night with me im beyond bored
0, someone should have stayed with me the whole night.
1, Kindaa Nervous Tho ..
0," kinda nervous, but I'm okay."
1, Hate when people look in from d outside never know what's really goin on!!!
0, I hate when people look in the back.
1, Right  18 and older? Cuz Im 14 and Im all hyper up DO NOT let me down!!!!
0, I'm 14 and I'm a little hyper.
1, omg I know right! She had us acting a fool lol
0," oh my God, we're acting like idiots!"
1, Its still rainin. :-(
0, still wet. :-(
1, Hotter Than A Mfa Outside ..
0, it's hotter than a mfa in the air.
1, jus a chill kinda nite need sumone 2 tlk 2
0," I'm a little cold, but I need a little bit of a nite."
1, Omg!! U mfcks beefing like lil kids.
0," oh my God, they're like little kids."
1, S/o to the love of my life
0, I love my life with love
1, I gotta boy it takes him 20 minutes to pick food...
0, he'll take 20 minutes to eat...
1, I Miss you too Tallie !
0," I'm also a tallie, too!"
1, Easy to Dream a Dream but its Harder to Live it.
0," it's easy to dream, but it's harder to live."
1, If you stfu then maybe it won't be so hot
0," if you don't, it's not going to be so hot."
1, Don't expect me to call ur ass no mo when u havin problems since...YOU DONT WANNA TALK!
0," when you have problems, don't expect me to call you a dick!"
1, Bt if I go to sleep ain't go wake up till like 11 at nyte
0," if I'm asleep, I won't wake up until noon."
1, Even though I dont want too
0, even though I'm not interested in it.
1, You all showing pussy give some #
0, you're all showing your pussy
1, What the fuck is up with instagram bruh damn .
0, what the fuck is going on with instagram bruh.
1, I should of never fucked that one dude lmao
0, I'm not gonna fuck that guy.
1, itss fucking boringg
0," it's boring, it's boring, it's boring, it's"
1, lol i love you like ah fat kid love cake though
0," oh, I love you like a fat boy."
1, Boutta give work on tekken
0, I'm gonna work on the tekken.
1, Fat Bitches Kill Me Man
0, I'm gonna kill a fat bitch.
1, Blowing up my news feed every Wednesday with people that don't even know you exist .
0," every Wednesday, I'm blowing up my news feed with people who don't even know you're alive."
1, I wish I had somebody to stay up with tho
0, I'd like someone to stay with me.
1, I hve sum issues but I want commit nah not hviin it....BAD 4u :-)....
0," I have a problem, but I want to commit to it......BAD 4U :-)..."
1, U Still On The South?
0, you still in the South?
1, Ya girl hungova Lila mofoka
0, you have a girl named Lila Mofoka.
1, I'm Good All By Myself But You Make Me Better
0," I'm Good, But You're Better"
1," i gotta delete pictures , i got hellasssssss !!"
0," I have to delete the pictures, I'm a big sssssssssssss"
1, Money is everything a b****h don't mean shit to me\
0, money is everything a faggot doesn't mean anything to me.
1, Bn woke damn near 24hrs ... Bouta head home take 2hr nap then get right back up smh
0, Bn woke up at least 24 hours...... and then he took a nap.
1,  Stroke it for a good ole 2 mins  LMAO I'm hip to the whole Convo
0, I'm hip to the whole conversation for 2 minutes.
1, if he come to the game  Whoooo ?! Them Yeen Real lol
0," if he's here, he's gonna be real cool."
1, We them niggas you scared of like bad dentist
0, we're the ones who scare you like a dentist.
1, She Get High... Baby Gir...l She Get Fuck Up ...
0, she's got a little bit of a headache...
1, Good Morning everyone!!!!
0," hello, everyone, it's a good morning"
1, lol smh hatin me won't get u off work
0, I'm not gonna let you go to work.
1, Being daring always gives you a rush
0, you always have a rush when you're daring.
1, Cant wait til my bday
0, I can't wait till my wedding.
1, 5am thoughts.. I need to get it together
0, I have to think about it at 5: 00.
1, I be trynna help mfs get cashed out
0, I'm trying to help the MFS get the money.
1," Fuck Ass Nigga #OnSoul , Tryna Help Yo Dumb Ass"
0," # On Soul, try to help your ass # On Soul"
1, Got that asap playing at work
0, I'm playing it at work as soon as possible.
1, Bend That Ass Over While Hee Play Withh Myy THONG !
0, Bend your ass and play with myy!
1, Body across some chairs
0, the body of a chair across the table
1, lol ok boo we'll keep in touch n gotcha
0," okay, we'll keep in touch, but we'll talk."
1, oooo ' yeahhh oss - don't tell nobody tho
0," oh, yes, oss - don't tell anyone."
1, She straight begging me to sell it to her for 50 no bitch lbs
0, she's begging me to sell her 50 pounds for 50.
1, Yea I love them strippers
0," yes, I'm really fond of the strippers."
1," lol its cute, i stole thee name !"
0," oh, my God, I stole your name!"
1, oh the restaurant is called Grape Leaf ?
0, the restaurant's called the Grape Leaf?
1, How your rent be 25 dollars if you can't pay that you broke foreal
0, how much you pay for rent if you don't pay it.
1, Claim to be real but your not to the ones you're around who you fooling???
0, you're not fooling anyone who's around you.
1, Someone DM ME!!! STRANGERS WELCOME
0, someone's gonna send me a message!
1, Talking to much bf About shoes
0, he talks a lot about shoes with a lot of people
1, ple don't say that u need to tok am here inbox me
0, don't tell me you have to send me an email.
1, Goodmorning. To have a great day. :)
0," hello, hello, hello, hello, hello, hello, hello, hello"
1, Laying down watchin ATL MY BABBYYY TI THE only reason I'm watchin it
0, I'm gonna watch ATL MY BABYYY TI
1, My nigga Ray funny as hell lmao
0, Ray's funny as hell.
1, Eating Thanksgiving food for breakfast.
0, I'm eating breakfast for Thanksgiving.
1, Fuck Em Dey Ain't 200 I told you about trusting bitches shykeem\
0," I'm telling you, I'm not gonna trust a bitch with a little bit of a pussy."
1, Sumbdy Kik Mehh DaveeWifeyy
0, Sumbly Kik Meh DaveeWifeyy
1, I really hope it dnt rain tomorrow i wanna wear my hair down
0, I'm hoping tomorrow doesn't rain.
1, eggs pancakes n bacon that's it lol I did that lol
0, I made a bacon egg n bacon.
1, getting those gammas??
0, what are those gams?
1, Scrappy Already Know His momma Crazy As A bitch!
0, he's already known his mother as a crazy bitch!
1, I love da way she fuck me
0, I love how she's fucking me.
1, No one will sing me a lullaby...... I can't fall back to sleep fml
0, no one will sing me a lullaby...... I'm not going to sleep.
1, -becuz of my patience
0, -because I'm patient with you
1, Saw some griffeys I want shall get them for school
0, I want to go to school with some griffeys.
1, This is trouble season .
0, it's a bad time for the season.
1, Next year while lot new shit
0," next year, there will be a lot of new shit"
1, how do u delete your twitter page.
0, how do you delete the Twitter page?
1, Who can give you what you need ? Nobody
0, who's gonna give you what you need?
1, I'm sorry I can't deal with hood ass females. You gotta have class fuckin wit me
0," I'm sorry, but I can't deal with a hood girl."
1, ha usually when I turn its more like they give the finger
0, when I'm more like they're giving a finger
1, You Cant Have Sex With Out Someone Catching Feelings ! #JS
0, you're not gonna have sex with someone who doesn't feel! #JS
1, Why everybody wanna piss me off today ? Smh shit CRAZY !
0, why do you want to piss me off today?
1, Bless to see another day
0, it's a blessing to see another day
1, Another day to be great! Don't waste it....
0, you don't have to waste another day!
1, Phonecalls? Dm me your #
0, call me # #
1, Can I finally shoot on Taylor or never?
0, will I ever be able to shoot Taylor?
1, Nobody Went Close To The River After That
0, no one was close to the river.
1, Help I'm blowed and don't want to get up lol
0, I'm blown up and I don't want to go.
1, My mama cried when I told her I wasn't comin home before I left tha country
0," when I told my mom I wasn't coming back, she cried."
1," you ain't never had dick ,\n\nTil you've had #MyDick"
0," you've never had a dick,\ n\ nTil you've had # MyDick"
1," Don't let my actions mislead you , I fuck with you strong but I damn shole don't need you"
0," don't let me fool you, I'm strong, but I'm not gonna fuck you."
1, Stop fighting bout the same old things.
0, stop fighting the same old thing.
1, The nail shop screaminq maa name
0, the nail salon's scream is a name
1, They loud ashit on the EL
0, the EL is loud and heavy ash.
1, Once I Leave No Looking Back ! :-)
0," once I'm gone, I won't look back!"
1, Still at zap zone 20 mins to go
0, we're at 20 minutes in the zone.
1, #TurnOns Girls Who Come Chill w/ Me On Nights Like This
0, # On the night of the girls who come to me
1, HALLELU!! HALLELU ! lol
0, HALLELU! HALLELU! Lol!
1, YU A DUMMY IF YU THINK #YOBTC ONLY #YOBTC N TEXTIN JUS YU
0, # YOBTC N TEXTIN JUS # YOBTC N TEXTIN JUS # YOBTC N TEXTIN JUS
1, Ctfup you like every fucking picture my aunt or cousins post !
0, you're all over my aunt and cousin's pictures!
1," Yes sir this game... well series, is a wrap!"
0," yes, this game is over, series!"
1, My friends always tell me I should be a stripper while in college
0, my friends always say I'm supposed to be a stripper in college.
1, I need my fucking head phones
0, I'm gonna have a fucking head phone.
1, I hate a worsom azz nigga
0, I'm sick of azz nigger azz
1, It's nothing worse than a cute girl with a bad weave...
0, it's just a cute girl with a bad weave...
1, sike just not for awhile.. lls
0, it's not going to be for a minute.
1, has killed so many puppies this week smh.
0, this week he killed so many puppies.
1, Meh and Shera      
0, Meh and Shera     
1, if i dont u got me lol
0," if I don't, you're gonna be cool."
1, This good people finally seeing the change in a good light...
0, the good people finally seeing the light of change...
1, In union city  it's raining
0, in the city of union
1, `iuv them STRIPPERS..
0, I'm gonna take them to the Strangers...
1, ASS juss be jiggling lol
0," ass, I'm gonna be laughing, I'm gonna laugh,"
1, Getting to sleep if you want to talk to me text me
0," if you want to talk to me, text me."
1, y'all play? we spray.
0," all right, we're gonna spray."
1, Im Gettin Tired of This School Shit Mann
0, I'm tired of this shit school.
1, RFT  I hate being sick ! im sick tooo :(
0, RFT  I'm sick of it! 
1, now y'all turning on geno huh
0, you're all going to be geno now
1, Hoez ain't acting right.
0, Hoez's not acting right now.
1, My grandmother dictate her husband
0, my grandmother's husband is dictating my husband.
1, word who that kiss for ?
0, what's the word about the kiss?
1, lol yess gotta Lovem doe
0," oh, my God, I love you, Lovem."
1, Would have still been slp
0, it would still be a slp
1, Ayana tweets tonight 
0," Ayana's tweeting tonight, and she's tweeting about"
1,  manee dead ass y'all chill out!she came at me
0," all right, all right, all right, all right, all right, all right, all right"
1, dam shay fuck you moved from da block
0," damn, you're moving out of the block."
1, God Please Don't Let BET Get They Hands On The TLC Movie Cause They Gone Kill That Shit
0," God, don't let BET get the TLC movie."
1," cause she was talking about me , duhh"
0," because she's talking about me, duh."
1, But when you saying something and your actions backup what you're saying 
0, but when you say something and you're backing up what you're saying.
1, lol just stop being so messy
0," oh, stop being so messy."
1,  Smh people say anything to get what they want Rft
0, people say anything to get what they want
1, IT WAS ALL GOID JUS A WEEK AGO SHOE BOX FULL NO SNEAKERS THO!
0, it's all going to be a week of Jus a week!
1, Michael Myers always creeping
0, Michael Myers always creeps Michael Myers
1, Man sittin here listening to Jay...... nothing else to do....... where the food at??
0, he's sitting here listening to Jay...... and nothing else to do...... where the food is?
1, Ion even be texting bck
0, Ion's gonna text me a lot of times.
1, Y'all can't tell me the heat haven't been turnt all mother fucking night !!!!!!!!
0, you can't tell me the heat wasn't on all night.
1, Where's my new friend ! I had fun with him last night playin the wii lol he's funny !
0, last night I played with my friend.
1, He kissed me on my forehead today. Tehehe.
0, today he kissed me on the forehead.
1, if the head right ill be there every night.
0," if the head is right, it's going to be a night."
1, enoughwiththescruff\nNo ass November #enoughwiththescruff
0, #Enoughwiththescruff # No ass November #Enoughwiththescruff
1, Sha'lite ain't shit .. I got happy asf
0," Sha'lite's not shit, I'm happy as fuck."
1, i was thinkin bout gttin cuffed on sum shidd bt idk frfr
0, I thought about how to get him in handcuffs.
1," .* smoke good drank good , you knw we fuck good !"
0," * We're good, we're good, we're good!"
1, It seem like people always bothering me et the wrong time
0, I'm always bothered by people and the wrong time
1, Hatred Dawg Ass Hoes This Shit Aint New To Me
0, hatred Dawg's Ass Hoes
1, I seen u... U rode down my street
0, I've seen you... I've seen you on the street.
1,  back to good ole southwest.. southwest good to u?
0, good ol' southwest...... good ol' southwest...
1, When you high fool everything taste good AF
0," when you're a fool, everything tastes good."
1, awwwwww they are so cute
0," wow, they're so cute!"
1, Lmbo hoes be think they the only one :(
0," Lmbo, they're the only ones who think they're the only ones!"
1, My last name FUCK...My first name I DON'T GIVA
0, I'm not gonna give you my name.
1, Ppl are sickening... How can you even beat a 2 year old to death???
0, people are sickening...... how can you be killed by a 2-year-old?
1, at home.. I already took down my hair and washed it now I'm doing a curly fro
0, I've already washed my hair and I'm doing a curly hair.
1, I'm on a cloud riding home tonight. I love my Common Radio!! #pandora
0, I'm going home tonight on a cloud.
1, November 10th don't owe me nothing
0, don't give me anything on November 10.
1, lol i gotta stop yu on dat one.. yo smile kinda evil looking
0," oh, I have to stop you from that one."
1, Rite HOV the talk of first take
0," Rite HOV, the first one to take the first."
1, I'm jus trying to get this job my bad bruh....trying to make the new year b gudd
0, I'm trying to do it bad bruh...... trying to make a new year.
1, Finally schedule a road test #comeup lml
0, the final test is scheduled to be #comeup lml
1, I like it when everybdy get along.
0, I'm glad everyone gets along.
1,"  Don't Lead Me On, Then just stop talking to me"
0," don't talk to me, just stop talking to me."
1, I just got up like 2 smh
0," I'm like 2 smh, I'm just like 2."
1, Is it just a hit n run
0, it's just a run and a run
1, I don't even tweet but khalia well damn
0," I'm not tweeting, but I'm really happy to be happy."
1, I straight deleted my Facebook :/
0, I've been deleting my Facebook since I've been here.
1, My night is over smh damn man the night still early.
0," I'm tired of this shit, damn it."
1, heyyyy bitch. IMY. I miss both of yawl I miss y'all too!
0," oh, my God, I'm missing both of you!"
1, iPut Somee Baby Lotion On im in Lovee With That Lotion
0, I'm gonna put some baby lube on my love.
1, Where My Booga At ? I'm Hyped Asf. ' Bored. Ugh
0, I'm hyped as f. 'bored.
1," I listen to, Jay-Z  Linkin Park."
0," I'm listening to, Jay-Z and Linkin Park."
1, If I was high right now 
0," if I were a little higher now, I'd be a little"
1, My rap name gone be chief Kesha
0, I'm going to be the chief of the name of the rap
1, call me web you get off
0, call me the Web you're leaving
1, my sister  kt  monye .
0, my sister and Kt and Monye.
1, Bet Them otha Bitches Don't cop it like i Do
0, bet they're not gonna take it like I do.
1, Everywhere...And I Hated It!!!!
0, everywhere... and I'm sick of it!
1, Is My Bf  My Suh Back at It
0, my husband and I are back.
1," Dis nigga say, I put her fat rabbit on ah craftmatic!"
0, I'm gonna put a fat rabbit on the ship's mast!
1, Im not evn with the shits Today
0, I don't want to hear shit today.
1, nigga takin selfies behind the drapes
0, nigger selfies behind the fence
1,  Some of the best things in life are free!! Ijs WHAT??? LOL!!
0, what's the best thing in life is free?
1, F*** a fake friend where my real friends at?
0," I'm gonna have a fake friend, right?"
1, Where the fukk the ranch at??????
0, where the fuck is the ranch?
1, Catch All Error #1: Out of Coffee!
0, error #1: The coffee is out!
1, So aundaja high  dne came n da house thankin she can dance
0, she came to the house with a high  dne
1, im giving him headachee . but he called me o.O
0," he's got a headache, but he's calling me O.O."
1, stop saying u wish u was funny like me .. just be u bruh .. i aint shit.
0, stop saying you want to be funny like me.
1, 1st tatt Lastnight #Tuff thinking bout gettin another one already addicted like crack
0, # 1st Tuff # Tuff thinking about getting another one of them addicted
1, Prayer still works!!!!
0, prayer is still working!
1, Did that free throw even make the net??????
0, did the net even make a free throw?
1," tw,,tw,,tw thats us"
0," tw, tw, tw, tw, tw, tw, tw"
1, #asktwitter taio was the guy that had the fake gf right???
0, #AskTwitter taio was the one who made the fake girlfriend?
1, Samonte gone be MADD if I don't make his class presentation
0," if I don't show him the presentation, Samonte will be MAD!"
1, twitter take stuff too far
0, Twitter is too much of a joke
1, Im suppose to be on the floor but im chilling.in the break room.
0," I guess I'm in the basement, but I'm freezing."
1, But I gotta be strong for thee fam!!!!!!!
0," but I have to be strong for you, my dear!"
1, Had the craziest dream about my uncle last night. Smh.
0, last night I had a crazy dream about my uncle.
1, I love that I can FaceTime anywhere
0, I'm glad I can FaceTime anywhere
1, Lhh She Just Mas Cause zshe zthouhht She Was Runnin Somebody Lhh
0, she's just a cause of zshe zthouhht She's running someone.
1, ok and call me wenever you are ready
0," all right, call me when you're ready."
1, I really like the person I'm Becoming
0, I'm really happy with the person I'm becoming
1, We been deaded that PA hype
0, we've been killed by the hype for PA.
1, Havnt seen him since elementary nor talked to him since last year
0," I haven't seen him since elementary school, not even in the last year."
1, Watching Snakes on a Plane.
0, he's watching the plane with snakes.
1, you still at practice dummie ?
0," you're still practicing, aren't you?"
1, it really is ... Just keep them in prayers I have to
0, it's really just a prayer I have to.
1, dfl -___- yu jus dnt wanna call your self phony ..!! It's cool
0, dfl - _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
1, Gabriel look all muscular n shit!
0, Gabriel's all muscle and shit!
1,  just feel like giving up! Damn sho not you
0, you don't want to give up!
1, But If She A1 That Would Change My Mind But Ion Know No A1 Chick
0," but if she's A1, I'll change my mind."
1, I think chubby butt might rival old' bails
0, maybe the butt of a chubby butt.
1, wtf these men on stage
0, what the hell are those guys on stage?
1, Catch A Kay Kay$ Nigga He Gne Me Muy 30 !
0, I'm gonna catch a Kay Kay $ nigga!
1, #whydoyou play these lil games
0, # You're playing these little games #
1, I feel so good right now
0, now I'm really happy.
1, How I wish falling in love was the way it looks on TV!
0, it would be like the way I love to fall in love!
1, Watching these Lil boys play football!
0, I'm looking at these little boys playing football!
1, needa get bac to mia asap
0," needa, I'll be waiting for Mia asap."
1, I need to call shay today I need to update her on soo much
0," I'm supposed to call Shay today, so I'm gonna update her."
1, Lol really fav so you talking to the enemy? Ok
0," okay, so you're talking to the enemy?"
1," , But Ik Mama Can't Do It For Me Forever ."
0, but Mama Can't Help Me.
1, Migraines be a fuckin killer!!!!
0, migraines are a killer!
1," , coming too school tomorrow"
0," , tomorrow morning, I'm going to school."
1, #dontcallmeb #sorrynosorryb
0," # Don't call me # Sorry, sorry, sorry, sorry, sorry,"
1, Zyiah went back to sleep on me
0, Zyiah's asleep on me again.
1," I know data right, it don't get more real than that"
0, I'm sure there's more real data than that.
1, Lemme not speak on it lol
0," I don't want to talk about it, bro."
1," Keep telling my daddy what im doing,but is you telling him you want my bitch tho !!!"
0," tell my dad what I'm doing, but you're telling him you want my bitch!"
1, its rainin were my love at ?
0, I loved the rain.
1, which doesn't take much
0, it's not going to take much
1,  Yu Sleep Nah yu sleep everybody in the world loves red velvet cake yu just not human
0," Yu Sleep Nah, you're not human, you're just not human, you're not human."
1, RFT Love Is Faithful  Your Not Faithful ^.^ So What We Had Wasn't Love *.*\
0, RFT Love Is Faithful .........................
1, Wanna call quits shit be my lord fckin guess .
0, I guess I'm gonna quit shit.
1, bitches love me x future 
0, I'm a bitch for the future 
1, Aweee HELLL NAWWW LMAOOO
0," oh my God, I'm so sorry, but I'm sorry."
1," Say that I need that Bet! Friday we in the club standing on couches, swing thru"
0," we're going to the club on Friday, and we're going to the couch."
1, yea do dat yeen gone do nothing but jump on da money train wit us nigga
0," yeah, we're just gonna jump on the money train with you."
1, But the swelling on my nose need to go down.
0, but my nose is swelling.
1, No Scrubs x TLC 
0, no Scrubs x TLC 
1, I wanna talk to #lisaWillams I wonder if she has a Twitter
0, I'm wondering if #LisaWillams has a Twitter.
1, It feels like its going to be a good day.
0, it seems like a good day.
1, Chillen rocking Alanah to sleep.
0, Chillen's asleep with Alanah.
1," If I got a dollar every time one of my friends told me they hate me, I'd be rich"
0, I'd be rich if I'd have a dollar for every friend who said they hated me.
1, Nook be calling random hoes talking bout bae I'm finna come see you
0, I'm gonna go see a random hoe talking about my boyfriend
1, This hot water feel good
0, it's a good feeling in the hot water.
1, J Cole crunch time...repeat.
0, Cole's crunch time... repeat.
1, Niggas be bitches n these bitches be dumb
0," bitches are bitches, they're dumb."
1," aww mane , I wanted to see yo big head self"
0," wow, I'd like to see your big head."
1, I'm alone :-) :-) :-) :-)
0," I'm alone, I'm alone, I'm alone,"
1, For The Record ion Got Beef With You ! we Squashed That Shit The Last Time .
0, we squashed that shit the last time.
1, I'm in queens. Horny as hell stroking my dick for u
0," I'm in the Queen's house, and I'm fucking crazy about my dick."
1, lop u titty fucked her roolls?
0, did she fuck her tits?
1, Tomorrow morning im going to put peewee 50inch flat screen  his Ps3 in a storage
0, I'll take him to storage tomorrow morning.
1, Phone is so dry......smh
0, the phone's so dry...... I'm sorry.
1, let me know!! let me knoooow!!!
0," I want to know, I want to know, I want to know,"
1, already! You get that B-Day cake?
0, you're supposed to have a cake for the birthday?
1, I was on depo I'm still preggo smh
0, I've been on the depo I'm still a boy.
1, First Class Trip To Nd Place Called Life Mfs Really Dnt Noe Wtf To Expect Out Dis Shit
0, first Class Tour of Nd's Place Called Life Mfs
1, Dem Franklins Dem 100's Dem 100's $$$$$
0," Dem Franklins $100,000 Dem 100,000 $$$$$"
1, shoulda coulda woulda...i couldnt give 2 fucks anymore
0, I should have... I could have... I could have...
1, shiid im in west town
0, shid's in the west of the city.
1, I hate when ppl text back slow
0, I'm sick of people sending me a slow message.
1, Only Suck 1 Niqqa On the Team Dick Ass Hoe
0, only Suck 1 Niqqa On the Team Dick's ass
1, Who trying be in a group message ?
0, who's trying to send a message to the group?
1, Ima Explain In Emojis
0, I'll explain in emoji.
1, Almost done with my personal
0, I'm almost done with my life.
1, Young nigga Getn Older  My getn Colder
0," young nigger, my nigger, my nigger, my nigger."
1, I think I can do a mixtape....
0, I'd like to make a mixtape...... I'm sure.
1, Watchin the Grammy Awards
0, watching the Grammy Awards
1, ight :) And Toma Me  u goin go for A Lil Ride #Jus the Two of us ;)
0," okay, and Toma Me and you're gonna go for a ride #Jus the two of us!"
1, mannn tell ha kik me or some
0, mannn's gonna tell me or something
1, Niggas mad guzz i hit it better than you do
0," guys, I'm better than you."
1, All these niggas going ! They gone catch something ! *hoes
0," they're all gone, they've got something!"
1, smh my charger is my bitch gotta keep her close Gwaff
0, my charger's my bitch.
1, Washington Heights come on tonight . I gotta watch !
0, I have to go to Washington Heights tonight!
1, My Dick Out Her Jaw Drop
0, my dick's gonna drop her jaw.
1, Told ya best verses of 2013 no bullshit
0, I told you best songs from 2013
1, I Got 40 on Brady 2moro...Any Takers??
0, I'm Brady 2moro... 40 on Brady...
1, I'm Gone Change IT To My Baby Picture Sooner Or Later... Cause My Baby Picture Sexy AF'
0, I'll change my baby picture or I'll be gone.
1, Im dyin maaannn!!!! Im stayin in tonight!!!
0," I'm staying here tonight, I'm staying here!"
1," Lol , got on somebody twitter  his bio just killed me ."
0, I just killed someone on Twitter.
1, Lets get this rillo tho
0, let's get the rillo out of here.
1, Y'all Assholes talking shit!
0, you're all idiots talking shit!
1, Keep these hoes outcha face .
0, keep the hoes out of the way.
1, no I just wanted to let you know
0, I'm just saying I wanted to tell you.
1, I do look like A U.s bank FUCK NO DF
0, I'm like a U.S. bank that's not DF.
1, I Wish My Burfday Boy Was Here Right Now
0, I'd like to have a boy on my birthday.
1, I Wanna Loyal Girlfriend.Where I Find Those At ?
0, I'm looking for a loyal girlfriend.
1," Nunu be kicking tf outta my stomach, bad asf"
0," Nunu's gonna kick my stomach, like a bad fanny."
1, Got my baby I was so happy to see his face felt like I was gone forever..
0, I was so happy to see my baby.
1, tell mayne to call me
0, tell me to call Mayne.
1, I.had this number for 5 yrs i cant believe it
0, I've been thinking about this number for five years.
1, So I'm kinda excited about this!
0, I'm really happy about this!
1, Fuck yu hoes y'all ain't shot but a nut to me
0," I'm not shot, but a nut."
1,  A #Sagittarius loves hard but when you cross them over that's the end for you. Truuu
0," # Sagittarius loves it, but when you cross them, it's over."
1, .Omgee Bff I Just Noticed u cut awl your damn hair off
0, Omgee Bff I've just seen you cut your hair.
1, But iCant Help It If People Switch Up
0, but I'm Not Helping If People Change It.
1, I can say that I only trust a few people.
0, I'm sure I'll only trust a couple of people.
1, Bitches Stay Eating My Dick .
0, the bitch's gonna eat my dick.
1, Wish I was #Educated like this a fee years ago...
0, I wish I'd been educated like that a few years ago.
1, #10ThingsIGetAlot you have a nice smile
0, #10ThingsIGetAlot You're smiling a lot.
1, Starving and sleepy at the same damn time
0, starving and sleeping at the same time
1, I really don't deal wit a lot of dudes....
0, I'm not really interested in a lot of guys.
1, Yeeessss MiMi going home!!! #BGC11
0, # BGC11 MiMi MiMi MiMi MiMi MiMi MiMi MiMi
1," Im get right , nd right !"
0," all right, all right, all right, all right, all"
1, Girl you going to get the DJANGO tonight and the JANGO is silent..
