first_seg	second_seg
"You can't lose what you never had, you can't keep what's not yours & you can't hold on to something "	that doesn't want to stay.
Hoes wanna know..hoes wanna show..they know a nigga name they know a	nigga strong (Rick Ross voice)
imma let y'all know soon and you coming if I have to	drag u out the house
I try to let u pussy niggas eat its time to put	u pussy boys to sleep
But that ain't gon be hard all I Need to do is pass this test	tomorrow and pass my midterms
He mad He came over My House unannounced and I was	gone. Not My Problem !
I'm tired of playing the back. I'm bout to bring some fire	to the game. Real talk!!!
with everything you just said injuries they still were in place to make the postseason	Firing Garrett would do nothing
if she liked the first gift thats only the tip of the icebergh i	got a trick up mysleeve
"If I was with tonight, I'd kiss her. Too late. (Kisses hand "	"instead)"" Awww <3 tomorrow lol"
Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not about	to clock you in. Smh
Got some new lipstick in the mail and got her damn hair oils. Had me excited like	it was my phone cases
I'm what you want. I'm what you need. She got you trapped ill set you	"free. Sexually, mentally, psychically, emotionally"
So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna take	my time...no time for accidents
Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea she	black then a muhfucka too
I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her music	isn't going anywhere with
I know how to work the system the clothes I bring in looks better than what they have	on their backs how
Gatorade and powerade use to be so nasty to me but	now I luh Dat shit
lmaooo I had to go see this tweet for myself... It's a	shame it's the truth tho
they all look good that's why if I wasn't black I	would hope I was Persian
or go to food services but either way corporate need to	send them some damn sauce
I could accept us not being together but i couldn't accept us not being friends and now	it seems like i can
NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC home	loss for John Calipari lose
My mom blows the fuck out of me at times... Fuck my life	have to harder for? Damn
"boy teya tryin go see granny, & shit. Ima see doe, ima"	"hit ur boost!"" No questions"
I got the jack wat else I need sugar wats dem pebbles	that be in that shit
"I'm over so many ppl , I'm so shady"" aye wats good"" I'm at the"	"abc store with it""ima holla"
Ten dollars from a call from jail... Shit over wit... See u	when u come home bro
I think it's a raccon or possum walkin round my house I'm	scared ass shit rite now
Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursive	till they like 20 smh
2 for 10 at Fridays be so clutch for the quickness cuz fast food joints want	10 dillas for some trash
Ppl plates on the gram be lookin like some straight trash	keep that shit in house!!!
I jus call boo and she finished Skool she drink and	she smoke my reefer too...
Bout to see like 40 plates on the gram get me	heated I'm starving like shit
"Boaaaa, u got TWO DIFFERENT FEMALES TEXTING YOU.... SOOOO IMAA HAVE"	TWO DIFFERENT NIGGA TEXTING ME.
70 degrees in Nashville. Bout to take a trip to and then heading to get my drunk on. After that	I will be at .
"Continuing the same way, they announced the arrival of my train after it"	"pulls off, so not happy"
Females be get they self into street shit but wen somebody put pressure on they	ass they tell the police
"A.J., have u ever thought about leaving TNA and going to the WWW? With your skills, they wouldn't"	know what hit them.trust me.
i had no choice ! Like i was already all into the tv	and couldn't look away lol
When I see a pretty girl with weave its the equivalent to a girl seeing a dude	"with Beijing in his hair"""
It's funny a watching niggas go thru problems like I do but it's not funny when I go	thru shit fuck it tho
"Fellas call dat single chick dats been sitting outt all cuffing season, say u gonna shovel her snow, ring her bell"	and kiss her in mouth
She gonna have to make a decision right then and there...Kiss in mouth with	ass grab...or no snow shovel...
Soon the none basketball playing in LIFE clowns are gonna say Griner could play NBA ball...when she couldn't make	a D1 or D2 team.
middle age buddy dat shovel dat ish for his whip and had a bad day gonna be on	some bus driver ish lol
Sadly so many HS has crippled these players academically that even	JUCO is hard for them...
tell em what happen to the mouse n the house the VERY next play tho (den ask	who won ALL the games)
U eva bump into a nigga yo age and he STILL take Gang banging serious? At what age do a reference of another gang	NOT make u wanna fight?
"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...U"	don't deserve ur fucking letters.
I swear when I get out this rat race imma be taking midday	naps and going to chiropractor...
"Ladies, the older you are in the ""game"" the more Bullshit ur"	gonna have to sift thru...
Sick of going to this dealership for random lights going out...BUT I do love	a free truck wash. *bling*
1/2 of what you want > Zero of what you want.	But its mean if vocalized
Bill collectors take fractions of debt on the dollar sometimes...and I don't expect u 2	agree about the RS ish...
Fucking WhERE?!!!! T So its a store that will sell U 4	fifth of Patron for 49.99
immediately go back to hotel and hope u aint got TOO many jerks on ur team dat play	the replay on they ipads.
Shame on ALL you women that has sent off the Shape Challenged women	of the world...shame on yall.
On way 2 gym to sweat the rest of this bug out...can't be	conducting workshops looking all sick
we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy works	hard as shit for it.
yea u know with groupon they jus give u dat bread	back to get sumthing else...
Sooo the other business units sending emails to IT while we	in conference cuz they out...smh
Kelly is a Fast ass Heffa...and we love it! Let her set dat poon out...We loving	her direction right now lol
it doesn't work when u work everyday and dem bums sitting in ur hood watching YOUR	shit u worked hard for.
Can you do what you doing right now...3 years from now?	If not your wasting time.
I can actually beleive the stat...i was just wondering who took	time to take the poll.
Everytime I ask for a cup for water at a fastfood Joint...I always	fill it up with pop
I hate the lil sign on my phone dat says I gotta Voice Mail...I hate the red lite on my work	phone when I gotta Vmail.
I'm more of the service at a soup kitchen..Paint a School type of Community Service kinda	guy...I'm not a role model.
I been on auto pay since foreva! Got some 1percent in	apr deduction cuz of it.
"I couldn't do shit but laugh...she was dead serious and smiled in my face like ""yea"	"nigga u see it"" lol"
Den she so gangsta...she ends convo looks at me for little bite den	opens up this bible pamphlet!!!
I didnt speak on Lillard cuz i made no reference to him.i spoke on AD and Barnes.and Barnes like i expected is	gonna be a good pro
I said AD wont be ROY and Barnes was gonna be a Good Pro...and Game was	more suited for the Pros
that's a recipe for disaster. A woman that won't shut up or sit down. When is that ever gonna get	wins? Its less extreme ways.
we can agree 2 disagree. But I'm no advocate to any woman thinking its ok 2 neva shut	up and have a seat...
I think every Married woman on my TL is nodding they heads...while the	single ones aint catching it.
if everyone calmed down before making a decision a lot will be different...But to be fair a woman fussing	is annoying as shit lol
let DJ come home and tell me all he did was watch Videos with a Sub and every 1	in class aint got books.sheeid
Sometimes dudes holla at chicks dats not that cute cuz they hope she like super attentive and domestic	and got untapped good poon.
are u trying to say that getting a white woman will help u be great if	your a black man? lol
how is that funny? Maybe interaction with you is more immediatly satisfying that those causes...we	all aint self righteous bruh
it helps by showin u can be responsible for SELF and thats	the 1st step before unity.
and thats just one scenrio....its a mille more...hence why the bases should	be ...BE A RESPONSIBLE PERSON..Period
how do u understand an analogy and not at same time? Ok lemme try this...ur not a dad...do u think u can speak	on it 2 a dad?
was showing all types of baby thigh meat in HS now her future kids	can't be alil fast lol
"Ladies If u EVER used the line ""I'm 2 much woman for u anyway"" to justify"	any argument...U a Fat Girl.
Attn is a helleva drug tho...and goofy mogs is raising the price	of it faster than Gold.
"I'm convinced dat Hova lack of thirst, own bread, style nshit made her look over his camel"	face. Chicks are less shallow...
repeating the last 3 words of my questions back to me	does nuthing ya know lol
It can pan out tho...but dat later in life leap of faith shit is NOT the groove...fuck around and	be damaged goods by 34
no country for chicks leaving bread crumps for the ppl they	REALLY wanted to be with
"Pho craving, Mekong Delta closed Mondays so I made faux pho w/ ramen noodles (all eddies has). It's not"	"Delta, but i'm pleasantly surprised."
"oh i dunnno, maybe they are. But they are usually closed mondays, which is"	when I usually want pho
Just had a great conversation with old baltimore about how he used to	get drinks at the Stafford.
there should be an en fuego documentary. What was in that burrito that	made it taste so good?
"With that being said...what do i want more, a nice body or nice hair, cuz it's clear i"	can't have it all lol
I might need to break out the creamy crack i been trying soo	desperately to stay away from
Im all for my ppl leaving Chicago. All I ask is make it a	place I can visit. .
Just found out that my auntie BBQ and my fat ass just ate. I'm headed to	go get me a rib
I think in going to make a trip up to Roosevelt... Just	to see if anything changed
I was a little cranky lol. I haven't been gettin any sleep	lately but I'm str8 now
So he said he was going to call me back so	he can get on IG
"Did anybody hear Momma Dee commercial on 107.5.???? Why did she say ""Whenever I'm"	"in the State of Detroit"""
I'm a full time worker and a full time student.... Do I really have time	for a boyfriend.??? Uhhhhhh.... NO
My cousin texted me yesterday and asked me when I was coming back to Florida. I told her soon	cause I need to gtfo
"Reading through Neh 12 this morning with my man, Joshua. He spit up while I was reading the names of"	the priests & Levites. Hmmm...
"Don""t miss the kickoff of our new series The Red Letters! 9 & 10:30 this morning"	at Greater Gresham Baptist Church
"'s message ""I will give you rest"" must of worked last night - found stress ball under a chair in"	the worship center this morning.
"Spire installed on New York's One World Trade Center brings it to 1,776 feet, tallest building"	in Western Hemisphere. -- CNN
if you everhave the time to message me back because everyone says I sound like the both of you when I	rap just want to talk
that moment wen sumone tryna talk to yhu ....nd yhu tell them yhu a lesbian nd they	try even harder! like wtf.!
Brian would you consider being in a long distance relationship if you	were interested in that person
I been waiting on a new debit card all week! Seem like it goes slower when they know	you got money to spend
Whenever ppl lose too much weight too quick ppl automatically think one of two things. They're	either smoking or sick lol
It's gon' be 93 degrees today! We just skipped Spring and	went straight to Summer smh
I can't just go eat pork like I used to. It's been too	long. I get the point
It's bout to storm. They interrupting the tv shows. Y'all know my	theory. Lol must be serious
I see now why ppl just get cheese pizza. It's way	less work... and safer lol
I can be a crazy bitch. I'll admit it. But I can also	"be the sweetest person, ever."
"Mind at peace every nite, that means something to many with the"	most unsatisfying commitments to make.
just got done listen to that junt . had that shit bumpin in	her lil whip . .
"Sex: it's between the two people, respectfully take advantage of each other"	for those couple of minutes
Nate is 5'8. Bron is 6'8 of course he will hit him in the face. He's under him. The	NBA is so fucking gay.
"One thing I never was, was afraid to approach women. It be a lot of single bad chicks out here"	cause niccas can't speak. Simple.
Why Mother's Day gotta be the day after Graduation I can't shine for 48 hours lol jk I	"love my mama"" lmaoo petty"
If that all it takes for him to be done then it was	FORREAL in the first place
I guess not celebrating her b day cause she hasn't said	not one thing about it
idk what the nail shop be doing either cause when I let someone else do	them I still have some
Chan mad cuz the Lakers not in playoffs...I wonder who he will cheer	"for when Kobe retire!"" Lmao"
BeeJay a mess. I know a couple females that need to	"do a ""big chop"" ASAP"
"I was like O_o ""oh, that's nice. What's that?"" She was like ""a 3 piece chicken"	"wing and a biscuit"" lmao"
lol sorry. Haven't had my coffee yet. I deserved that. I assume my rain	will consist of Canadian pennies?
I think a couple of burnt hot dogs and brats shall	be in my near future.
"yes. My humble opinion though. Mos Def ""Thieves of the Night"""	verse is up there too.
"seriously though, we often confuse arguing with debating. I feel that men/women don't debate"	enough and argue too much.
"I can't even yell properly. My voice cracks. Smh"" just stick your finger in your"	nose. That wins most arguments.
what's the classy ratchet move for this evening? I only brought my	ratchet personality with me today
"I don't even wanna give her hell her jokes too lite"" your jokes"	lighhhhhht DICKHEAD no neck ass
And If She Trynna Tell Me Im The. Only One Thts Hittin I Say Wht About Them Niggas She	Say Wht About Them Niggas
"Paul George ain't bout that life 4real tho"" u crazy that"	nigga go hard bro lol
"Everytimee They Together She Open Her Mouth To Say ""The Way He Had Me Feeling "" Tf Kindaa Way Did"	Youu Have Her Feeling ?
"Literally tho,Leonard is the only player who looks like he can keep up, the"	ball movement is looking AOK
Females only like me because I pay them no attention apparently	y'all like that stuff *Shrugs*
Nobody I know is up thee dearly morning so I choose	now to reflect on life
Fact that we pour ourselves out to twitter just goes to show you that we really just need to get our problems out but	to afraid to say them
Cats be like son my first time I ha an orgy with like 10 bitches and they all came 3 times and I ain't even	come I swear to everything
I been telling y'all from day one Knicks are not that nice they just have	better players than most teams
I was saying that they don't listen to you and just keep saying how u not a true freak even though	u told them u not
"Lord Forgive me...he knows I love my friend dearly, but I do not agree. If u"	"like it, good for u!"
-Please tell me that fool Stevie didn't ask that dumb chick 2 marry him! I hope it's 4 publicity becuz	that 2 serious 2play with
"We been beatin shit lately & we ain't playin round this summer.""y'all betta get sum straps cuz"	shit gettin real lil bra
You fuck with me I fuck with you..I will never lie to you..gotts be honest with yaself that's	what make it tha truth
Getting MicroBraids in my head full I hair took all night yesterday and gonna take all day	today only some will understand
If this lol boy watch another mothafucckin WWE fight on my computer ...	Imma body slam his ass
"Saw segment on steve harvey. I was so intrigued by your story! Perfect example of a good,"	God fearing man overcoming obstacles!
"so lets see. Thats me, ken, wanda, aunt ree, now whos next"	", the hate/thirst is real"
Loved last night but they should have let them perform longer. They were great ! Been	a fan since the beginning!
If your girlfriend friends dont like u .u can hang it up b c they	gon lie on yo ass
Wildest field trip since my prison visits in undergrad I'm gon give	you'll the play by play
I don't know if I'm fooling with them dogs Bro have my	pressure up them salty dogs
Sprint users for the iPhone in Chicago I'm not even a sprint user but they pissing me off damn dropped calls in	the middle of great convoy
"Para los gringos el 5 de mayo es la independencia de mexico, asi como canada"	es su estado mas grande.
This weak ass shit over with. That's two down all that's left is the one who always	remains best in my book.
"the screw the rangers button has been pressed, but refs just sucked. Hank let in 2 soft ones +"	the big guys were invisible.
"Smph ""Put a MOLLY in dat bitch drink nd she ain even knw it"""	realli like that's crazy shit!
lls dang Mann I finna in a mintue I went the sleep 11 sum this morning	in got up at 3
lol shood I Juss woke up I stayed up till 11 something in went to sleep in Juss got	rite back up at 3
Money on the line I came to take what's mind clouds can't block the sun when	it come out and shine
I dropped a hot wing on the ground & threw it away last Sunday & I been thinking	"about that shyt ever since."""
"i just might the next female i have in bed lol"" that was sooo wrong!"	I would sue his ass
It's almost 1:30 am and I'm just getting in from my date and I come home to my mother being gone ooooh well	off to bed I go
"Hate cheap people, like naw i just came with you to WATCH you eat."" Omg that happen to me"	yesterday I was like WTF
I got This Feeling On a summer day When you were Gone I crashed my Car into a bridge I threw Your Shit into a	bag and pushed it down
whats goin on? Any way i can get u to check out some of my joints and	get ya feedback on em
"So i downloaded kik. and saw my baby on it. ""GG you got a kik?"" GG:"" yea daddy yoit late."" lmfao.. So what Im not hip"	to the jive . Lol
YOU LIVE IN A FAIRYTALE WORLD. EVERYTHING AIN'T PERFECT. . I DON'T GET NO HAND OUTS. FUCK THAT. SOMEBODY	GIVE ME SOME FREE SHIT.
Anybody ever experienced someone who constantly tries to make u miserable..belittle you..n threaten u ? Imagine	waking up in hell everyday
I gotta bff ..he understands me ...n wen I say I love	himmmmm thts my ninja 4life
Soooo tall !! :) dnt really look like a bear to me but I guess u gotta wild	side lol I can dig
Ill never regret demanding respect. .cuz where im from respect is everything n	ppl out here rude af
no its not lol and nothing just trying to make it	what you been up to
"When I wake up in the morning and stretch, I make baby"	"dinosaur noises."" That's kinda sexy."
"That's how it's fucking done MIAMIII!!!!! Lebron, you FUCKING beast!!!! Go"	home pacers! Fuck outta heaaaaaaa
Anyone know where I could shop for Brazilian bikinis without it	having to be south beach?
oh yeah of course it does. Doesn't mean I gave to like it	though. I'm just getting old
If you text me and ask me can I do you a favor and you didn't even say	hello first. I will ignore!
Got out the car to go in the store. I figured that was a bad	idea. Now sitting and waiting.
This shit is hilarious tho. When somebody calls you on your shit	just own up to it.
no thanks. I didn't read about it. Just read what it is supposed to be. Or at least	the name of the event.
If I hit the powerball I may as well kill myself. Cause my family will beat me down mentally and emotionally before	I can ever enjoy it!
my nephew told some lady that before. I said hold up you gonna have them thinking ya	mom and I are gay!
There's only 1 reason I would want to be in Philly right now. And despite what u	believe.... It's not about you!
"There was less judgement in the world.Maybe not in the same ways, but we all do wrong at"	some point in our life.
Oh hell nawll black people and chicken don't mix let me get my ahh in this kitchen b4 these	drunk niiggas eat em up!
I can't go down Auntie monkey house to watch bball dese niggas a be hollin roll	tide I'll be like df?
Why is it so hard to find a 34 D bra... I'm just too picky. Not trying to look	point when shits are perky
so you didn't get me any?! What kind of shit is that! I	would've sent you my address
If you have drugs in your car keep your scary ass off the road in the morning... I don't have time to be driving	slow bc I'm behind you
So Dame Dash is broke. As black people we need to be	better with money. Myself included.
"Why can't I seem to make it out of NC successfully. The devil is trying to keep me here, that's"	a battle he will lose
I want Jamaican for dinner... So sad I can't have cream soda with	it... H20 it will be
I think I just want one kid. So they can be an	only child like my mom
I want to get my nails and toes painted on my lunch but I	have closed toed shoes on
You prob shouldn't have brought your newborn with you to the nail salon.... So you	can get a full set..
They also need to be 7-8 pounds straight out the womb	lol I like big babies
Are you at Carowinds ...lol just trying to make sure before I	wave at your twin lmaoo
Put on my swim suit and baby oil for no damn reason.The pool is closed for some ol bullshit but will be open tomorrow	and my ass gotta work
grams empty out my purse cuz she wearin it to a weeding! I hope my weed bowl wasn't in there! she go kick my ass and	i need it tonight lol
God looked out fa us last nite ona foe we all cudve	been dead on ma soul
Nah people are too quick with these things they must have people on stand-by waiting for celebrities to fuck up so	they can pic stitch it
"Lady at the nail salon tried to steal my nail polish,"	you are not loww Ming.
So you think its cute girls fussing over u LOL I'm to grown for the bull shit just no I played the games u	playing along time ago LOL
#NAME?	hood boys stop all that..
How You Gone Try && Pop Out At 11 Some Out The Blue At That &&	Expect Somebody To Come Outside
I have so much anger built up so please warning you don't	get on my bad side
I text more than I talk soo whatever all the people I need and want to talk	to have iMessage sooo whatever.
Well - Mmmm-bop is gone but now I am humming I saw the sign	& Barbie girl. Thanks &
Hey I know the Spurs wish they still had Jackson to shoot some threes.	Lol great call coach Pop.
With my new bitch rite now I like her style cuz treat me Betta and fuck me	Betta we on another level
White ppl can come together and make neo Nazi's and us blacka still fighting	"over blocks, streets and colors"
So sick of these nights alone and now its going to be every night. I've really got	to find a friend!!! :(
Playas mess up lol but I wanted to know if I buy me a pressing comb	can you press my hair
Real bitchxs dey lust em hatein niggas disgust em i see u takn em shots dey	bounce off em its nth
"come back to lr so we csn go eat?? Lol"" but come get"	me so I can go...
I see my phone still acting up. Folks thinking they on blocked list cause they texting me and I'm	not even getting the messages
I don't see why people be scared to tell somebody they feeling	"them."" < fear of rejection"
Why not if everybody see what that person see mmmmm n out da blue tell me bout it	like I wanted to kno
U rite I don't kno never did kno n never did want to kno I always respected u as a woman never brought bullshit	to da table yall did
I miss you to Judy come back down six u was suppose to	be here on lante b-day
This nigga jcole ji OC lol hope my man dont get caught	up for no dumb shit
Mfs wana be like Trice whole time tho. Just Tryna switch her shit up a lil	peon ass lil Thot .
At work still w8tin 4 it to slow down but glad my hang over gone curric I'm	sticking to jack an crown
I neva ask for Xmas gifts bc the stuff I want cost	waaay too much for ppl.
She came up wit ideas and suggestions to get me out a bind and it worked. I	normally NEVER ask for help.
"I say that bc I always mad D's in school, and"	look how I turned out.
On the way home -_- oh well.. Had a great time	with the family !
Love is much like a Checking Account you can't withdraw more than you have deposited. And you can't give more than	what you have on deposit
no I heard that from somebody else I told her what u said about that other thing I juss put that with	that in is u supposed
We spoke real quick last night man.. Liking some of the beats I heard on your page.. Definitely gotta	get up with you soon
My Bro Slow AF. Smh. This Nigga Lit The Wrong End Of The Cigarette... Glad	I Didn't Wanna Hit That!
That 1 time when u need something and its not where u put it!!!	The story of my life
I missed so much good tv today...but I had a good excuse...	from the foundation up tho
I hate when bitches in food service have a damn attitude. I should go back and curse that	mf out at captain Ds
"omg , my baby Kellee is coming . yall dont understand"	how much i miss her.
yeah just for this weekend. You'll be back at it next	week. You always do lol.
"If you have to wipe your ass more than 3 times after a shit, get yo"	shitty booboo ass in shower.
The White House has missiles under the front lawn and an underground bunker 6 stories underground that can	withstand a full nuclear attack
Dept of education is cutting pell grants to community colleges. They haven't put	that on mainstream media though.
people can't stand to see you doing better than them. And	it's always our own color.
Obama says our foreign oil dependence is down 30 percent but gas keep rising. We might need	to call them back lol
My NIg flying in from Seattle and I'm flying in from ATL. Bout	to have a good time.
"This girl doesn't understand my view on why raising minimum wage would kill the economy,right now especially. But"	I'm about to enlighten her
Fuck top dog give me that underdog status..Made it from the bottom to	the top so what's trappin
"It's not about East or West. It's about niggaz and bitches, power & money, riders & punks. Which"	side are you on? ~Makaveli~
Niggaz aint gone be satisfied till they get the package....all that ass u was foaming at the mouth over	gonna cost u your life
"Niggas will lie wit a str8 face, smh i dnt say ish i just"	charge it to the game.
key to my success is I tell chics straight up I aint shyt and leave it	up to them to decide
I am sending my grandson a Hess truck with the motor cycle because if I was a boy that is exactly what I	would want! Thank you Hess!
When dudes say they can't fuck with a chic because she a	hoe he really jus insecure
"I love ""Reflections"". The music and Bible verses brings me peace of"	mind and dreams of Heaven!
My only issue with rebound sex is that after she done with you she	act like it never happened
"I just tried to check the temp on my phone it said, nukka its cold dont ask me no dumb"	ass questions. Im just smdh
So if he was going around giving peaceful sermons and saying the same thing without screaming	it would be accepted right
Imma change my profile pic today. Which fb friend of mine	should be my profile pic?
Hello Janice this is your sister who love you a lot trying	to learn how to tweet
"Wat r my plains 4 dis week hmmm.....twn n Tuesday I wk, Wednesday my rest day, Thursday my family n I r goin"	"out 2 eat, n Friday"
HALT ~ never let yourself get to (H)ungry (A)ngry (L)onley (T)ired it leads to sinful	things. In my Full flow
A cuz I haven't seen in yrs asked for a brush & my mom had the audacity to pass them mine. U	think I want it back.
"I used to think I didn't have a hobby, but now that I think about it, I guess f*cking shyt up should"	count as a hobby right
"I woke up this morning, dick rocked up...i hit the vicks inhaler cuz"	my nose was stopped up...
"Today I pray, Lord keep my mind focused, my eyes on the prize, keep my hands out of the cookie jar & my feet on the"	right path! Amen & Amen
Football game for Jayden should be canceled snow sleet whatever is coming	to GA he is sick
It's been a while since I had a strong island... I need of those	& 2 shots of patron
shit if that's the case I'm game for anywhere but MS! I'd like to come back this way but	idk. Where u tryna go?
"S/o to all the niggas that got ""Goin Steady"" as their ring"	tone for they side bitches...
